"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 20:05:57 CST 2022","Tue Jul 26 20:06:08 CST 2022","10862","package_pytest","test_operate_app","TestH7131","","","test_lock[7-500]",""
"passed","Tue Jul 26 21:10:30 CST 2022","Tue Jul 26 21:10:36 CST 2022","6297","package_pytest","test_operate_app","TestH7131","","","test_off_show[39-500]",""
"passed","Tue Jul 26 20:21:29 CST 2022","Tue Jul 26 20:21:40 CST 2022","10556","package_pytest","test_operate_app","TestH7131","","","test_on_head[15-500]",""
"passed","Tue Jul 26 20:18:17 CST 2022","Tue Jul 26 20:18:23 CST 2022","6237","package_pytest","test_operate_app","TestH7131","","","test_off_show[13-500]",""
"passed","Tue Jul 26 21:00:32 CST 2022","Tue Jul 26 21:00:46 CST 2022","14617","package_pytest","test_operate_app","TestH7131","","","test_off[35-500]",""
"passed","Tue Jul 26 21:07:50 CST 2022","Tue Jul 26 21:07:54 CST 2022","3452","package_pytest","test_operate_app","TestH7131","","","test_on_light[38-500]",""
"passed","Tue Jul 26 20:12:53 CST 2022","Tue Jul 26 20:13:01 CST 2022","7989","package_pytest","test_operate_app","TestH7131","","","test_on[11-500]",""
"passed","Tue Jul 26 20:16:20 CST 2022","Tue Jul 26 20:16:25 CST 2022","5248","package_pytest","test_operate_app","TestH7131","","","test_off_show[12-500]",""
"passed","Tue Jul 26 20:11:26 CST 2022","Tue Jul 26 20:11:30 CST 2022","3932","package_pytest","test_operate_app","TestH7131","","","test_auto[10-500]",""
"passed","Tue Jul 26 19:58:40 CST 2022","Tue Jul 26 19:58:53 CST 2022","13255","package_pytest","test_operate_app","TestH7131","","","test_off[4-500]",""
"passed","Tue Jul 26 20:01:21 CST 2022","Tue Jul 26 20:01:26 CST 2022","5290","package_pytest","test_operate_app","TestH7131","","","test_high[5-500]",""
"passed","Tue Jul 26 20:24:49 CST 2022","Tue Jul 26 20:24:56 CST 2022","7118","package_pytest","test_operate_app","TestH7131","","","test_on[17-500]",""
"passed","Tue Jul 26 20:38:21 CST 2022","Tue Jul 26 20:38:27 CST 2022","5909","package_pytest","test_operate_app","TestH7131","","","test_show[23-500]",""
